ID_Number,Menu_Number,Seq_Number,Title,Text
49,2,3," Rating caches","DIFFICULTY
1 -  Easy. In plain sight or can be found in a few minutes of searching.

2 -   Average. The average cache hunter would be able to find this in less than 30 minutes of hunt.

3 - Challenging. An experienced cache hunter will find this challenging, and it could take up a good portion of an afternoon.

4 -     Difficult. A real challenge for the experienced cache hunter - may require special skills or knowledge, or in-depth preparation to find. May require multiple days / trips to complete.

5 -     Extreme. A serious mental or physical challenge. Requires specialized knowledge, skills, or equipment to find cache. 

TERRAIN 
1 -  Handicapped accessible. (Terrain is likely to be paved, is relatively flat, and less than a 1/2 mile hike is required.)

2 -  Suitable for small children. (Terrain is generally along marked trails, there are no steep elevation changes or heavy overgrowth. Less than a 2 mile hike required.)

3 -   Not suitable for small children. (The average adult or older child should be OK depending on physical condition. Terrain is likely off-trail. May have one or more of the following: some overgrowth, some steep elevation changes, or more than a 2 mile hike.)

4 - Experienced outdoor enthusiasts only. (Terrain is probably off-trail. Will have one or more of the following: very heavy overgrowth, very steep elevation (requiring use of hands), or more than a 10 mile hike. May require an overnight stay.)

5 -  Requires specialized equipment and knowledge or experience, (boat, 4WD, rock climbing, SCUBA, etc) or is otherwise extremely difficult. "
50,0,5,"vacation ","Thanks for adding to the fun with a new cache.

Please describe your  [maintenance plan]( http://www.geocaching.com/about/guidelines.aspx#cachemaintenance) for this cache in a new reviewer note  a log to the cache page).   See the Help Center article - [link](https://www.geocaching.com/help/index.php?pg=kb.chapter&id=128&pgid=709) -  about placing caches far from home for info on that plan 

**This plan should include contact information of the maintainer**

I have this cache on hold and watch, nothing will happen here until you post a new reviewer note. If there's no response in a week, I'll archive (permanently retire) the listing. 

palmetto
volunteer cache reviewer"
52,3,0,"not enough chocloate","Sorry, not enough chocolate was submitted with this cache. We are patiently waiting for proper payment before reviewing this cache.

palmetto, 
Groundspeak volunteer cache reviewer"
53,2,5,"adoption ","You can adopt your cache (or travel bug or coin) over to another cacher here.

http://www.geocaching.com/adopt

This is automated. When the cacher responds to the bot generated email asking if she wishes to accept ownership, the cache (coin, bug) is transfered. to their account. "
55,3,1,"TB Prison","Hi 

I'm sorry, I cannot publish this as written. The geocoins and travel bugs are not yours; you did not pay for them or their tracking and cannot impose restrictions upon their movement. Travel bugs and coins are not trade items. 

Please remove the ""leave one to take one"" language from the cache page.

 I used to publish these with a note requesting that the trade restrictions be removed, but recently Groundspeak has decided to ""just say no"" to restrictions on trackable movements by cache owners. 

Thanks 
palmetto 
Groundspeak volunteer cache reviewer 





"
56,3,2,"Hidden Coords email ","You'll receive a reviewer note as email when I publish these. It will include the HIDDEN coordinates, and will arrive simultaneously with the publish log. Don't panic, only the owner receives that reviewer note (which is computer generated) with all the cache coords. "
62,3,3,"database not refreshing ","Just give it a little time.

The databases on the various servers are not always properly synchronized, and that causes this problem. Database replication and server synchronization are sometimes hampered by cats rubbing against those servers, or bad bearings on the main hamster wheel,. Occasionally on weekends the hampsters may be fed late. ( If it persists, quite reliably some wag will submit a cache titled, ""Unapproved Cache"". )

"
212,1,10,"disabled by reviewer see notes","Hello [username]

I've taken the liberty of editing your cache title, hoping you'll notice.

Original title was 

 I know that the new message on unpublished caches is confusing, when they've been disabled after being reviewed - it expressly says that cache ""has not been reviewed""! 

Your cache has been reviewed, and disabled again, pending needed changes. You'll find that information in the reviewer notes, which are on the cache page if you scroll down, and they were sent to you as email. 

All logs on the cache page are sent to whatever email address you used for opening this account. If you're going to own a cache, it's important that you receive email sent to that account, it's sent from ""noreply@geocaching.com"". All mail from geocaching will have that return address. Make sure your spam filters aren't catching it, please. 

palmetto
Groundspeak volunteer cache reviewer
"
214,0,14,"log trackable into unpubllished ","
See this forum thread 
https://forums.geocaching.com/GC/index.php?/topic/350660-how-do-i-link-a-trackable-to-a-cache/

on how to log a trackable into an unpublished cache 
"
217,1,11,"please check this ","Please check this. 
If it's okay or if you repair it, then enable the listing. If you don't wish to repair it or own it any more, pick up any remaining bits of the cache and archive the listing, thanks.  "
220,0,15,"end time event","Thanks for hosting an event. 
Per the listing guidelines, please include a start and end time for this.  End time allows the late arrivals to know when they can expect to still find the host in attendance. 
http://www.geocaching.com/about/guidelines.aspx#event

""Events should take place at the posted coordinates and must include both a start time and end time.""

palmetto
Groundspeak volunteer 
"
221,1,12,"damage to entry landscaping ","http://coord.info/GLB3JH6K

http://coord.info/GCQ24F

http://forums.groundspeak.com/GC/index.php?showtopic=311454"
222,12,1,"what happened to challenges ","http://www.geocaching.com/challenges/default.aspx




Geocaching > Geocaching Challenges

In our effort to inspire outdoor play through Geocaching, we are often faced with decisions about what to focus on next, and what to focus on less. It is through these decisions that we explore opportunities to grow the global game of geocaching.

Occasionally, during this process, we are faced with the reality that certain ideas don't catch on as we had hoped. In these situations we owe it to ourselves and to you to make tough decisions about the future of every project and the resources to be applied to each. Sometimes, as a result, cool features must become casualties.

In this spirit, we have decided to retire Geocaching Challenges.

On an office wall here at HQ is a sign that reads, ""Let's make better mistakes tomorrow."" By accepting that we will sometimes get it wrong, we can allow ourselves to learn from and imagine new opportunities in the world of Geocaching. Our hope is we can take the lessons from Challenges and create better tools to guide you on your next adventure.
"
223,11,3,"throwdowns","http://support.groundspeak.com/index.php?pg=kb.page&id=427"
224,15,0,"cache report submitted email","Thank you for submitting a new cache. We have received the following:

GC4BTR9, GSW Lunch 
http://coord.info/GC4BTR9

It is peak season for cache placement. Your volunteer reviewer will strive to begin the review process within the next 7 days. Unpublished caches cannot be viewed by the general public. If you wish to view or edit your cache listing in the meantime, please login and use the URL above."
225,15,1,"how to search gc ","http://forums.groundspeak.com/GC/index.php?showtopic=317188"
227,5,13,"puzzle solving post niraD ","niraD's excellent puzzle solving post 
http://forums.groundspeak.com/GC/index.php?showtopic=316351&view=findpost&p=5308692"
229,15,2,"stagin admin ","http://admin.staging.geocaching.com"
230,15,3,"staging","http://staging.geocaching.com/"
231,0,7,"T1.5 with wheelchair attr","Your cache has the wheelchair attribute, but a terrain rating of 1.5

If the cache is wheelchair accessible, the terrain rating is 1, by definition.

Please fix what is in error, thanks"
232,0,16,"useless hints ","Please, no useless hints.
 If you're not going to add useful information to the hint field, leave it blank. 
[Hints]( http://support.groundspeak.com/index.php?pg=kb.page&id=222)"
234,1,13,"additional waypoints staged ","Multi - QtoA waypoint at posted coordinates if virtual/data collect, SoaM waypoint at posted coordinates if there is a physical object that you placed.
Letterbox Hybrid - Same rules as a Multi.
Wherigo - Same rules as a Multi.
Unknown - Reference Point at the posted if they are bogus. QtoA waypoint at posted coordinates if virtual/data redirect, SoaM/Final waypoint at posted coordinates if physical.
All of these can and should be listed as hidden waypoints unless you want to provide extra info to players in the additional waypoint itself."
235,15,4,"finds accounts numbersMarch14","Average number of finds among all cachers (only counting those with at least 1 find): 109
Median number of finds among all cachers (only counting those with at least 1 find): 8


Total count of cachers with at least 1 find: 3,033,032
Total count of cachers with at least 1 find who have logged on in the past year: 1,449,514 (note that API access does not update the last login date, so this number will no count those who are accessing Geocaching.com solely using an app) 

http://forums.groundspeak.com/GC/index.php?showtopic=320490&view=findpost&p=5360143"
236,4,12,"moun10bike post mar2014 ","http://forums.groundspeak.com/GC/index.php?showtopic=320490&st=0&p=5360143&#entry5360143"
237,15,5,"palmetto pub stats threads","http://forums.groundspeak.com/REV/index.php?showtopic=7461
2008 report first time 
http://forums.groundspeak.com/REV/index.php?showtopic=10479
oct 2009 first time hides report  & Dec 10- jan 11
http://forums.groundspeak.com/REV/index.php?showtopic=15729
2012 report "
238,15,6,"google search ","intext:jasmer intext:challenge intext:""(Unknown Cache)"" intext:""Geocache Description"" site:geocaching.com
"
239,11,4,"dumb NA ","Hello, I was alerted to check this cache by the ""Needs Archived"" log. Reviewing past logs, I think  the archive request ought to be treated as a Needs Maintenance / DNF log.
I am not taking any action at this time.

Regards,
palmetto 
Geocaching.com Volunteer Cache Reviewer"
241,5,14,"archive old event ","Thanks for hosting. 

""After an event has occurred, the listing is to be archived by the geocache owner.""
http://www.geocaching.com/about/guidelines.aspx#event"
242,5,15,"unarchived still disabled ","This cache was unarchived at your requrest. You need to fix it and ENABLE the listing promptly.Enable is log type available to cache owners.  "
243,12,2,"Letterbox history forum thread ","http://forums.groundspeak.com/GC/index.php?showtopic=326036&view=findpost&p=5428762"
244,2,8,"newest in Florida ","http://www.geocaching.com/seek/nearest.aspx?state_id=10"
245,1,14,"veteran caches remarks Nick ","Caches to honour an individual (person, dog, etc) generally don't trigger the ""agenda"" guideline. Once you try to honour a group, and especially if the wording suggests that the cache seeker might like to do the same thing, it's fairly easy to cross the line.  You might not think that anything as simple as honoring service personnel could be seen as an agenda, but that's generally how Groundspeak, the lackeys, and the reviewers will see it.

The line between an acceptable and an unacceptable agenda has to be drawn somewhere (example: ""this cache honours the gallant SS officers who fought to keep the Bolsheviks from invading our beloved German fatherland in 1945""), and Groundspeak has made the choice to draw that line right at the top of the page. 

This means that a number of causes which almost nobody on the planet would object to are excluded, as are causes which might be controversial internationally but which 99.9% of the people likely to visit the cache would support.

 Keeping agendas off cache pages is the best guarantee of keeping this game free for everyone, in the same way that keeping established religion out of the US Constitution is the best way to guarantee freedom of religion.

Thread 
http://forums.groundspeak.com/GC/index.php?showtopic=235302

 riviouveur's post 
http://forums.groundspeak.com/GC/index.php?showtopic=235302&view=findpost&p=4117285
"
246,8,9,"Moun10Bike on Souvenirs ","http://forums.groundspeak.com/GC/index.php?showtopic=315699&view=findpost&p=5305480"
247,7,6,"Chinldren post ","GEOCACHING DOESN'T CARE ABOUT CHINLDREN

http://forums.groundspeak.com/GC/index.php?showtopic=55988"
248,0,17,"reviewer note describe CSP"," 

When you submit a cache  you're asked to post a Reviewer note, here's what is asked for:  
"" Use this space to describe your geocache location, container, and how it's hidden to your reviewer. If you've made changes, tell the reviewer what changes you made. The more they know, the easier it is for them to publish your geocache. This note will not be visible to the public when your geocache is published. ""

 Some examples:  pill bottle in a pre-exisiting hole in the tree in a Name of City park, hide-a-key on guardrail on Name of Road, in water retrieved by pulling up line from Name of Park fishing pier, lamp post hide in Name of Store, commercial parking lot.
 Provide details of how your cache is hidden. Caches should never be buried (fully or partially). Holes should not be dug, pounded nor drilled into trees or structures that you don't own.   

Please, try to describe the location such that your coordinates and your location can be verified as a match. Not as, ""in a tree"" or, ""in a bush"". Thanks"
249,13,1,"favorites url ","

http://www.geocaching.com/seek/nearest.aspx?state_id=10&sortdir=desc&sort=fav"
250,13,2,"all florida url ","http://www.geocaching.com/seek/nearest.aspx?State_id=10"
251,13,3,"date placed state","http://www.geocaching.com/seek/nearest.aspx?State_id=10&sortdir=asc&sort=placed"
259,13,4,"old search florida ","http://www.geocaching.com/seek/nearest.aspx?State_id=10"
260,13,7,"quickview ","http://www.geocaching.com/my/default.aspx"
275,13,9,"find another player ","http://www.geocaching.com/find/default.aspx"
277,13,11,"another GC Widget ","https://www.geocaching.com/seek/cache_details.aspx?wp=GC"
280,13,12,"all coins list gc.com ","https://www.geocaching.com/track/geocoinslistall.aspx"
285,15,8,"BMnumber search","https://www.geocaching.com/play/search?bm=BM5ZVQ9#Content"
286,1,17,"project gc nm page ","https://project-gc.com/Profile/NeedsMaintenance?profile_name=Rikitan&submit=Filter"
287,15,9,"Moun10Bike numbers finds 2018","https://forums.geocaching.com/GC/index.php?/topic/350028-caching-connoisseur/&do=findComment&comment=5741171

he average premium member finds about 92 caches a year (about 7.5 per month) while overall the rates are less than half that. The medians are likely well below even those numbers."
288,15,10,"July 28 05 - publish and instant notify","https://forums.geocaching.com/GC/index.php?/topic/334560-cache-reviewers/&do=findComment&comment=5533277"
70,4,0,"palmetto profile ","http://www.geocaching.com/profile/?id=514483 
palmetto profile for Florida land manager policy on geocaching. "
75,2,4,"bogus with 2 ","Your bogus coords need to be within 2 miles of your actual coords, per the listing guidelines. 

http://www.geocaching.com/about/guidelines.aspx#mystery
""....the posted coordinates should be no more than 1-2 miles (2-3 kilometres) away from the true cache location...""

 Aside from the reasons given there, knowing that most puzzles will solve to within two miles is a way for cachers to self check on their own proposed new cache coordinates. If they see no puzzle bogus coords within 2 miles, they shouldn't have to worry about it. If they do see something that's within 2 miles, they can work on it (or beg coords from the owner). "
80,4,1,"email through system","http://www.geocaching.com/email/?u={User Name} "
82,4,2,"cache ID=number","http://www.geocaching.com/seek/cache_details.aspx?ID=500000"
83,4,3,"user=number","http://www.geocaching.com/profile/?id=100"
89,5,0,"FGA OLD ","http://65.34.18.106/"
95,0,6,"business or product in page","Your cache page needs to be edited, per the commercial section of the listing guidelines, which prohibits naming or promoting businesses. Link for that section below, see point 5.
 Referencing businesses by name is form of advertisement - product placement. 
Like many free websites, Geocaching.com sells advertising, they don't give it away on cache pages. 

http://www.geocaching.com/about/guidelines.aspx#commercialcaches


I'm going to disable this listing with my ""minor edits"" disable note. That note will explain how to proceed. 

"
96,4,4,"forum thread commercial ","The commercial section of the listing guidelines was updated May 7 2008, below is that update, with commentary by a Groundspeak administrator (chief cat-herder of reviewers, my GC.com boss). 

http://forums.groundspeak.com/GC/index.php?showtopic=193115"
97,4,5,"audit log = cache ID#","http://www.geocaching.com/seek/auditlog.aspx?ID=510524"
98,5,1,"resources to spare flask","i like not knowing where i'm going; i like trusting the hider to bring me somewhere interesting or at least to bring me through an experience that's interesting. it is a leap of faith. sometimes i get to the cache and i think ""what's the point of this?"" and maybe these days it happens more often, maybe because hiders are lazier, maybe because i have fewer resources to spare and am therefore more critical."
99,5,2,"candy store Nick ","Sometimes I feel like we're parents taking our kids to the candy store. We'd like them to spend their pocket money on a really nice bar of high-quality chocolate from Switzerland, partly because we're interested in their cultural upbringing but also because our kids are nice people and will offer us a taste of whatever they buy. The kids want the most bang for the buck and will buy the most horrid artificially flavored candy they can find because it's cheap per piece,"
100,5,3,"buried ","I'm sorry, but I cannot publish your buried cache. Please read the OFF LIMITS section of the listing guidelines here
http://www.geocaching.com/about/guidelines.aspx#offlimit

In particular note, ""Caches that are buried. If a shovel, trowel or other ""pointy"" object is used to dig, whether in order to hide or to find the cache, then it is not appropriate.""

Many cachers miss the ""in order to hide"" part of that sentence. "
101,4,6,"http://coord.info/","http://coord.info/GCxxxxx

http://coord.info/TBxxxx"
104,4,7,"view unlisted cache by CO name","http://www.geocaching.com/seek/nearest.aspx?u=[Team+Zerck] 

http://www.geocaching.com/seek/nearest.aspx?u=[username]"
105,4,8,"admin page ","http://www.geocaching.com/admin/review.aspx?wp=gc1gnjk"
111,7,0,"costs when Bomb Squad called","http://www.geocaching.com/seek/log.aspx?LUID=4597382d-8fb1-4211-b7ab-42a1f12066bf

http://forums.groundspeak.com/GC/index.php?s=&showtopic=210120&view=findpost&p=3759502"
114,6,0,"tozainamboku wisdom","http://forums.groundspeak.com/GC/index.php?s=&showtopic=212521&view=findpost&p=3800307"
123,5,4,"RWH posts by user","http://forums.groundspeak.com/REV/index.php?act=Search&CODE=getalluser&mid=72794


You will need to change that last parameter (""mid"" or Member ID) to the correct number. mid=1 in the example. Experiment with your own Member ID, which is displayed here: http://www.geocaching.com/account

33135 = MissJenn
2=irishye jeremy 
You will need to change that last parameter (""mid"" or Member ID) to the correct number. mid=1 in the example. Experiment with your own Member ID, which is displayed here: http://www.geocaching.com/account"
124,3,4,"ALR no more","I'm sorry, but your cache cannot be published as written.
There was a change to the guidelines as of April 4, 2009. 

Please read the new section here: 
http://www.geocaching.com/about/guidelines.aspx#loggingofallcaches

ALR (additional logging requirement) caches are no longer being published as Mystery caches, and whatever addition tasks you request are optional. 

Please edit the cache to traditional type, and alter the wording such that the extra tasks are understood to be optional. "
126,6,1,"logs=publish ","http://www.geocaching.com/my/logs.aspx?s=1&lt=24"
127,6,2,"logs=archive ","http://www.geocaching.com/my/logs.aspx?s=1&lt=5"
128,4,9,"gccoin page","http://www.geocaching.com/track/geocoinslistall.aspx#K"
131,4,10,"archived log ""wid=cache#""","http://www.geocaching.com/admin/archived.aspx?wid=313268"
132,1,2,"cache on electrical equipment","Your cache suggests electrical equipment.Please describe the cache and its location in detail in a new reviewer note. 

 I don't knowingly publish caches on electrical equipment, unless the owner of that equipment (the local power company, usually) has given permission. Electric companies have contacted Groundspeak and complained about caches on their equipement. 

I don't doubt that you have found caches on electrical equipment. Many times I cannot detect this from my computer.

I publish caches based on the assumption that the cache owner has read and understood the listing guidelines. Per those guidelines, caches on private property are supposed to have adequate permission. Where it seems likely that the property owner would remove the cache if they knew about it, then explicit permission is needed. That may be the case here. "
133,2,6,"permission Review Note","All caches on private property are supposed to be placed with permission. In many cases I don't question that permission. I'm either willing to assume that permission exists without it being mentioned, or I'm willing to assume that no permission = adequate permission. 

Here I'm going to question those assumptions. This cache is [state location] an area where the public is not expected to linger. 

please provide the name and contact information of the person granting permission for this cache in a new reviewer note. Please note that once I question permission on private property, you must have it, or demonstrate that the cache is on public land. Public land is NOT someplace that is not posted or fenced, it's property belonging to a government unit - Federal, state or local. 
Reviewer note is a log to the cache page. 
Thank you 
palmetto 
Groundspeak volunteer cache reviewer
"
134,7,1,"Allowable html Tags for listings","http://forums.groundspeak.com/GC/index.php?showtopic=191126&st=50&p=3570735&#entry3570735"
135,6,3,"log types number list","http://www.geocaching.com/seek/log.aspx?ID=1422046&LogType=23

type23=enable"
136,6,4,"flask why geocache","i was born to it.

it gives me something to do between skiing and racing bicycles.

and it mimics the movements of hunting and foraging, which have mood-elevating properties.

and it is an act of faith. it makes a very lovely framework on which to hang a peregrination.

http://forums.groundspeak.com/GC/index.php?showtopic=234506&pid=4107572&st=0&#entry4107572"
137,7,2,"upload to profile","http://www.geocaching.com/my/upload.aspx"
138,7,3,"clayjar definitions","Difficulty rating: 1
* 	Easy. In plain sight or can be found in a few minutes of searching.
** 	Average. The average cache hunter would be able to find this in less than 30 minutes of hunting.
*** 	Challenging. An experienced cache hunter will find this challenging, and it could take up a good portion of an afternoon.
**** 	Difficult. A real challenge for the experienced cache hunter - may require special skills or knowledge, or in-depth preparation to find. May require multiple days / trips to complete.
***** 	Extreme. A serious mental or physical challenge. Requires specialized knowledge, skills, or equipment to find cache.
 
Terrain rating: 1
* Handicapped accessible. (Terrain is likely to be paved, is relatively flat, and less than a 1/2 mile hike is required.)
** Suitable for small children. (Terrain is generally along marked trails, there are no steep elevation changes or heavy overgrowth. Less than a 2 mile hike required.)
*** Not suitable for small children. (The average adult or older child should be OK depending on physical condition. Terrain is likely off-trail. May have one or more of the following: some overgrowth, some steep elevation changes, or more than a 2 mile hike.)
**** Experienced outdoor enthusiasts only. (Terrain is probably off-trail. Will have one or more of the following: very heavy overgrowth, very steep elevation (requiring use of hands), or more than a 10 mile hike. May require an overnight stay.)
***** Requires specialized equipment and knowledge or experience, (boat, 4WD, rock climbing, SCUBA, etc) or is otherwise extremely difficult.
 "
139,7,4,"create table of contents wiki","{toc:outline=true\|style=none\|maxLevel=5}"
141,6,5,"markwell PQ page","http://markwell.us/pq.htm#step1simple"
142,6,6,"http://coord.info/gccode","http://coord.info/gccode"
143,6,7,"cache submit email","Thank you for submitting a new cache. We have received the following:

GC CODE +title 
http://www.geocaching.com/seek/cache_details.aspx?guid=16letters and numbers 

Listings are published by volunteers and you can usually expect this to be reviewed within 3 days. Unpublished caches cannot be viewed by the general public. If you wish to view or edit your cache listing in the meantime, please login and use the URL above."
144,1,3,"html for image widths","<div style=""margin: 10px 0pt 10px 5px; padding: 0pt; float: right; width: 100%;"">
<img style=""width: 100%;"" src=""image-url-goes-here"" /></div>"
146,1,4,"use map to check coords "," your coordinates of [N ] seem unlikely. 

The map links on the cache page work.Please log onto your account and open the cache page. Look at the map, which shows a red balloon for you coords.  Scroll down below the ENCRYPTION Key to see that map. If you click on the little ""i"" in the upper right corner of the map, you'll be able to zoom in and look at the satellite view.  
Please either verify that these are the correct coordinates, or edit them. 
Then post a new reviewer note so I know to reopen this cache page. If you do not post a new reviewer note, I will not look at the cache again. Reviewer note is a log to the cache page. "
147,5,5,"toz virt post","http://forums.groundspeak.com/GC/index.php?showtopic=193243&st=0&p=3469751&#entry3469751"
148,1,5,"Script Variables","Prime Script Variables
%owner%
%title% = Name of the cache
%wptid% = Waypoint ID
%coords% = Coordinates of the cache
%vdistmi% = Distance between home coordinates and cache in miles, rounded to nearest 5 mile increment
%vdistkm% = Distance between home coordinates and cache in kilometers, rounded to nearest 5 km increment
%nctitle% = Name of the cache the owner's cache is too near.
%ncwptid% = Waypoint ID of the cache the owner's cache is too near.
%ncdistft% = Distance between the two caches in feet, rounded to the nearest 5 foot increment.
%ncdistm% = Distance between the two caches in meters (not rounded)."
149,1,6,"admin page","www.geocaching.com/admin/review.aspx?wp=[GCCode]"
151,5,6,"waypoint conversion address gc","http://www.geocaching.com/wpt/"
152,0,8,"near homes","
Hello [username]


Thanks for adding to the fun with a new cache. 

Your cache is in a residential neighborhood, quite visible to residents. 
Did you speak with the homeowners nearby? Homeowners within view of the cache need to know about it and be okay with it. Often it's easier to simply move it. 

  Caches adjacent to private residences can be problematic.   It can make the homeowner unhappy to have this unexpected activity so near. Making people uncomfortable in their own homes is not an acceptable consequence of playing the game of geocaching.  It can also have unhappy consequences for seekers if  police are called on geocachers.
 "
154,6,8,"scout caches","""I'm trying to get a troop of Girl Scouts to each make a cache and hide it on our field trips"".

My experience is that scouts will not be able to maintain caches set on field trips. Please don't ask them to hide caches that they cannot be responsible for. Even if you are willing to maintain them, it seems to me that part of what they could enjoy and benefit from in cache ownership, is accepting the responsibility for the cache.

Until recently, I'd not seen a scout placed cache that was maintained by its owner. *
I've disabled them when they went missing, after being contacted by frustrated cachers. I've archived them when after many months they weren't repaired or replaced. I bookmark scout owned caches, knowing that the listing maintenance is probably going to be done by me (and the physical cache maintenance isn't going to be done at all).

*Recently, in south Florida, a BSA troop hid caches within walking range of the scouts. The boys can and are being responsible for the ownership of these hides.
"
156,0,11,"south at 28.10","http://www.geocaching.com/admin/queue.aspx?stateid=10&frl=24.5&tol=28.1670&ltype=lat&bc=khaki&pagesize=all"
158,1,7,"agenda","Hi {username}

Your cache page reads as a solicitation; it promotes {whatever}. {If relevant>>>} In general, a cache owner crosses the agenda line when they tell visitors what to do, feel, or think when they are at the location.
http://www.geocaching.com/about/guidelines.aspx#solicitation

From the guidelines, ""caches perceived to be posted for religious, political, charitable or social agendas are not permitted. Geocaching is supposed to be a light, fun activity, not a platform for an agenda"", 

Groundspeak provides a cache listing service with the expectation that cache pages will be about the cache, with perhaps some information about the history or features of the location. Geocaching.com does not allow caches to be used as a tribute, or to honor any group or organization (the military, the Susan G. Komen Foundation, Mothers Against Drunk Driving, etc.).

If you choose to re-write your page to meet the guidelines listed above, I can review your page for publication. {Possibly some specifics here: please remove the following, ""support, give generously, etc"" } I'm going to disable the cache pending edits. (disable with a how to edit, how to enable note)

If you want to pursue publication of the cache as currently written, enable the cache without edits, and tell me that in a new reviewer note.
The cache will need to be reviewed by Geocaching.com staff for an exception to the listing guidelines by using appeals. I can help you with that process. {Ie, archive the cache, provide the appeals@geocaching.com email addy - wiki article appeals }
"
159,10,0,"view of random venting","10/11/10 views 7,154"
